Title;Labels;Description;Assignee
Unicity is not checked. There is a test that check...;type:AT,sev:Critical,ms:BE,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Unicity is not checked. There is a test that checks whether an element is available and not empty. But there is no control whether this element occurs just once or multiple times.
";emidiostani
How is multilinguism taken into account?...;type:GE,sev:medium,ms:BE,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
How is multilinguism taken into account?
";emidiostani
It seems these tests can't be run in an automated ...;type:GE,sev:medium,ms:BE,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
It seems these tests can't be run in an automated way against the software. 
It's possible to do this with OGC web services using CITE tests. Some third parties do this for CSW at the moment. 
Do you know of any pending plans to implement the test suite for automated testing.
";emidiostani
Grouplayers will not be validated under the curren...;type:CR,sev:Critical,ms:BE,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Grouplayers will not be validated under the current proposal. However, their use is being promoted within the Geology theme to satisfy the present guidelines. 
";emidiostani
Based on ISO 19105 and the OGC Specification Model...;type:GE,sev:Critical ,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Based on ISO 19105 and the OGC Specification Model, each Markdown document represents a test case. A test case is part of a conformance class, which in turn is part of an abstract test suite for a specification document.
The current material seems to use 'ATS' where 'Conformance Class' is probably meant. The information which conformance classes form an ATS is, however, not represented. 
In this context it is important to emphasize that conformance class is the key concept. An ATS is far less important as it is just the aggregation of all the conformance classes in a specification.
In addition, the term 'ATS' is sometimes also used for a test case.
# Proposed Change
Use 'Conformance Class' (or 'CC'/'cc') where 'Abstract Test Suite' (or 'ATS'/'ats') is used now - and where the Technical Guidance includes (implicitly or explicitly) a conformance class. Avoid using wrong a misleading term for test cases.
Group the conformance classes into ATSs based on the specifications that define the conformance classes.
I.e., the structure would be for the current 'ATS's:
ATS: TG View Service 3.11
CC: WMS 1.3.0 profile
TC: A.02.IR04.extended...
TC: A.03.IR05.schema...
TC: ... (no more test cases shown below)
CC: WMTS 1.0.0 profile
ATS: TG Discovery Service 3.1
CC: CSW 2.0.2 ISO AP profile
 ATS: TG Download Service 3.1
CC: Pre-defined Atom
CC: Pre-defined WFS 2.0.0
CC: Direct WFS 2.0.0
CC: Quality of Service
ATS: TG Metadata 1.3
CC: ISO 19115/19119 profile
ATS: TG Spatial Data Services 3.1
CC: Invocable Spatial Data Services 
CC: Interoperable Spatial Data Services
CC: Harmonized Spatial Data Services 
Notes:
TG View Services: The document does not explicitly specify conformance classes for the two OGC standards, but implicitly these are defined as 'profiles'. 
TG View and Discovery Services: It is unclear how the requirements regarding QoS have to be treated as the requirements are not identified as requirements with an identifier.";emidiostani
An ATS belongs to a specification. Therefore, the ...;type:GE,sev:Critical,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
An ATS belongs to a specification. Therefore, the references in a test case may only reference one specification. 
However, currently sometimes an IR and a TG are referenced. This is not consistent with the notion of conformance classes or abstract test suites. Since IRs do not specify conformance classes and this is typically done in a technical guidance document, the reference should go to the TG (and the requirement in the TG should reference the relevant parts of the IR).
# Proposed Change
For each test case, identify/reference the relevant requirements in the TG document that specifies the conformance class. 

For TGs that identify requirements, list the requirements, otherwise list the most specific section.";emidiostani
For cases where a dependency exists to an external...;type:GE,sev:Critical,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
For cases where a dependency exists to an external conformance class (dependencies are always on the conformance class level, not on the level of test suites or test cases), clearly identify the conformance class.
# Proposed Change
See comment. For example, do not reference tests 'OGC FES 2.0, A.1 Test cases for query', but reference OGC FES 2.0 Conformance Class 'Query'.";emidiostani
It would be very useful to clarify for each test c...;type:GE,sev:Critical,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
It would be very useful to clarify for each test case which messages should be reported in case of identified errors in the test object.
While the description of a test case should be independent from both the implementation and the values, the test case 'should be complete in the sense that it is sufficient to enable a test verdict to be assigned unambiguously to each potentially observable test outcome (i.e. sequence of test events)' (see ISO 19105). This level of completeness would imply that the potential verdicts / messages can be derived easily from the test case description. 
In some cases this is trivial, but in general there is a risk that the messages implemented in an ETS may not contain the information that the ATS authors expect.
# Proposed Change
For each test case, specify the messages (including the variable information derived from the test object) that should be reported.";emidiostani
The section 'Prerequisites' should have a reliable...;type:GE,sev:Critical,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
The section 'Prerequisites' should have a reliable structure. Prerequisites should only be other test cases in the same conformance class or other conformance classes.
In some cases, this section does not state other tests that need to be passed first, but actually state new tests.
# Proposed Change
Update 'Prerequisites' to be a list of other test cases in the same conformance class or other conformance classes.
Any prerequisites that actually are new tests need to be converted into separate test cases or included in the test method description.";emidiostani
The documentation of the test cases is inconsisten...;type:GE,sev:Critical,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
The documentation of the test cases is inconsistent. Sometimes the title is the label (A.xxx.xxx) and sometimes a text.
# Proposed Change
Make the test case documentation consistent.";emidiostani
